budget,genres,original_language,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,title,vote_average,vote_count,year
10500000,"[35, 10751]",en,2.688562,"[175, 915]",[],1995-01-06,26325256.0,113.0,"['en', 'ru']",Houseguest,6.0,17.0,1995
60000000,"[27, 10749]",en,11.970205,[360],['US'],1994-11-11,223664608.0,123.0,"['en', 'fr']",Interview with the Vampire,7.2,1558.0,1994
14000000,"[18, 10749]",en,1.596058,"[2370, 9195]",['US'],1995-03-31,2474000.0,139.0,['en'],Jefferson in Paris,5.2,10.0,1995
60000000,"[35, 10751, 10749]",en,6.710215,"[33, 8816]",['US'],1994-11-22,37000000.0,109.0,['en'],Junior,4.7,381.0,1994
2000000,"[18, 10749]",es,4.126083,"[84803, 84804]",['MX'],1992-04-16,21665468.0,105.0,"['en', 'es']",Like Water for Chocolate,6.6,70.0,1992
30000000,"[12, 18, 10749, 10752]",en,12.199047,"[348, 559, 1656]",['US'],1994-12-16,160638883.0,133.0,"['kw', 'en']",Legends of the Fall,7.2,636.0,1994
17000000,[18],en,7.698526,[4],['US'],1995-03-17,7603766.0,106.0,['en'],Losing Isaiah,6.4,28.0,1995
45000000,"[18, 27, 878, 10749]",en,14.287753,"[70, 559]","['GB', 'JP', 'US']",1994-11-04,112006296.0,123.0,['en'],Mary Shelley's Frankenstein,6.1,272.0,1994
6,"[35, 10749]",en,1.137266,[915],['US'],1995-01-27,5.0,95.0,['en'],Miami Rhapsody,5.6,7.0,1995
31000000,"[18, 53]",en,5.930957,"[306, 802, 1382]",['US'],1994-12-23,106683817.0,112.0,['en'],Nell,6.1,128.0,1994
34000000,"[80, 53, 18]",en,11.226856,"[508, 644, 4198, 6194, 10104, 68551]",['US'],1994-08-25,50282766.0,119.0,"['en', 'nv', 'ja']",Natural Born Killers,6.9,927.0,1994
50000000,"[28, 18, 878, 53]",en,13.676444,"[824, 2154, 6194, 16775]",['US'],1995-03-10,189859560.0,127.0,"['en', 'ko', 'fr']",Outbreak,6.4,522.0,1995
16000000,"[53, 80, 18]",fr,20.477329,"[5, 9]","['FR', 'US']",1994-09-14,45284974.0,110.0,['en'],Leon: The Professional,8.2,4293.0,1994
11000000,"[35, 18, 10749]",en,1.433544,[28205],['US'],1995-05-12,2832826.0,113.0,['en'],The Perez Family,6.6,9.0,1995
8000000,"[53, 80]",en,140.950236,"[14, 59, 216]",['US'],1994-09-10,213928762.0,154.0,"['en', 'es', 'fr']",Pulp Fiction,8.3,8670.0,1994
400000,"[35, 18]",zh,1.638622,[5528],['TW'],1992-02-01,152322.0,105.0,"['en', 'zh']",Pushing Hands,6.1,9.0,1992
32000000,"[28, 37]",en,7.54701,[559],"['JP', 'US']",1995-02-09,18552460.0,107.0,['en'],The Quick and the Dead,6.2,431.0,1995
22000000,"[18, 35]",sv,3.395867,"[915, 10201, 12883]",['US'],1995-03-01,12400000.0,108.0,['en'],Roommates,6.4,7.0,1995
15000000,"[18, 35]",en,6.259433,[14],['US'],1994-12-23,11300653.0,133.0,"['fr', 'it', 'ru', 'es', 'en']",Prêt-à-Porter,5.3,33.0,1994
35000000,[16],en,8.910462,[4108],['US'],1994-11-18,9771658.0,89.0,['en'],The Swan Princess,6.5,251.0,1994
45000000,"[28, 53]",en,10.388183,"[2596, 6194, 11134]","['PE', 'US']",1994-10-07,170362582.0,110.0,['en'],The Specialist,5.5,317.0,1994
55000000,"[28, 12, 878]",en,13.328924,"[347, 694, 10320]","['FR', 'US']",1994-10-27,196567262.0,121.0,"['en', 'no', 'sv']",Stargate,6.8,942.0,1994
22000000,"[14, 18, 35, 10751]",en,9.665424,"[2, 915]",['US'],1994-11-10,189833357.0,97.0,['en'],The Santa Clause,6.3,501.0,1994
25000000,"[18, 80]",en,51.645403,"[97, 6194]",['US'],1994-09-23,28341469.0,142.0,['en'],The Shawshank Redemption,8.5,8358.0,1994
25000000,"[28, 35, 14, 878]",en,7.602087,[2231],['US'],1995-03-31,4064495.0,98.0,['en'],Tank Girl,5.5,140.0,1995
38000000,"[878, 28, 12, 53]",en,8.105708,[4],['US'],1994-11-17,120000000.0,118.0,['en'],Star Trek: Generations,6.4,461.0,1994
6000000,"[80, 27, 53]",en,2.86007,"[4319, 11308]",['US'],1995-05-24,12000000.0,98.0,['en'],Tales from the Hood,5.4,33.0,1995
11000000,"[10749, 18]",en,10.3919,[4],['US'],1993-12-17,10032765.0,118.0,['en'],What's Eating Gilbert Grape,7.5,943.0,1993
30000000,"[28, 80, 878, 53]",en,5.188399,[4],['US'],1995-08-04,24048000.0,106.0,['en'],Virtuosity,5.4,163.0,1995
17000000,"[35, 18, 10749]",en,15.783615,"[175, 915]",['US'],1995-04-21,182057016.0,103.0,['en'],While You Were Sleeping,6.5,340.0,1995
3000000,"[18, 35, 10749]",en,5.254847,"[105, 11840, 39250]","['AU', 'FR']",1994-09-29,15119639.0,106.0,['en'],Muriel's Wedding,6.9,104.0,1994
15000000,"[35, 9648]",en,11.247957,"[6194, 10210]",['US'],1994-02-04,107217396.0,86.0,['en'],Ace Ventura: Pet Detective,6.4,1684.0,1994
5000000,"[53, 18, 10749]",en,11.298195,"[8, 355, 441, 635, 5358, 8131]","['FR', 'GB', 'US']",1992-09-02,1862805.0,139.0,"['fr', 'en']",Bitter Moon,7.0,115.0,1992
62000000,"[28, 18, 53]",en,7.513245,"[4, 2767]",['US'],1994-08-03,215887717.0,141.0,['en'],Clear and Present Danger,6.4,390.0,1994
45000000,"[18, 53, 80, 9648]",en,15.263829,"[508, 644, 6194]",['US'],1994-07-20,117615211.0,119.0,['en'],The Client,6.4,287.0,1994
15000000,"[14, 28, 53]",en,15.799336,"[14, 4028, 4029, 4030, 6455]",['US'],1994-05-11,94000000.0,102.0,['en'],The Crow,7.3,980.0,1994
46000000,"[14, 35, 10751]",en,15.019586,"[33, 56, 1353]",['US'],1994-05-26,341631208.0,91.0,['en'],The Flintstones,5.0,559.0,1994
55000000,"[35, 18, 10749]",en,48.307194,[4],['US'],1994-07-06,677945399.0,142.0,['en'],Forrest Gump,8.2,8147.0,1994
6000000,"[35, 18, 10749]",en,8.990345,"[181, 1382, 10163]",['GB'],1994-03-09,254700832.0,117.0,['en'],Four Weddings and a Funeral,6.6,654.0,1994
45000000,"[28, 35, 10749]",en,3.570874,"[175, 9195]",['US'],1994-06-29,61947267.0,123.0,"['en', 'fr']",I Love Trouble,5.3,41.0,1994
45000000,"[10751, 16, 18]",en,21.605761,"[2, 10217]",['US'],1994-06-23,788241776.0,89.0,['en'],The Lion King,8.0,5520.0,1994
35000000,"[18, 36]",en,5.681522,[14],"['FR', 'IT', 'LI', 'GB']",1993-12-01,4858139.0,140.0,['en'],Little Buddha,6.0,76.0,1993
14000000,"[27, 53, 9648, 14]",en,9.860522,[12],['US'],1994-10-13,18090181.0,112.0,['en'],New Nightmare,6.4,297.0,1994
23000000,"[10749, 35, 80, 14]",en,14.13488,"[12, 552]",['US'],1994-07-29,351583407.0,101.0,"['sv', 'en']",The Mask,6.6,2550.0,1994
30000000,"[35, 80]",en,10.587232,[4],['US'],1994-03-18,51132598.0,83.0,['en'],The Naked Gun 33⅓: The Final Insult,6.4,535.0,1994
11500000,[18],en,6.514592,"[33, 216]",['US'],1994-02-18,20079850.0,99.0,['en'],Reality Bites,6.5,180.0,1994
8000000,"[80, 18, 53]",en,5.137903,"[278, 1382]",['US'],1993-07-08,2000000.0,98.0,['en'],Red Rock West,6.4,71.0,1993
30000000,"[28, 12, 80]",en,10.859292,[306],['US'],1994-06-09,350448145.0,116.0,['en'],Speed,6.8,1814.0,1994
27000000,"[53, 878, 28, 80]",en,8.907074,"[33, 467, 552, 1644, 2982, 4248]","['JP', 'US']",1994-09-15,101646581.0,99.0,['en'],Timecop,5.5,288.0,1994
115000000,"[28, 53]",en,11.396099,"[306, 574]",['US'],1994-07-14,378882411.0,141.0,"['en', 'fr', 'ar', 'de']",True Lies,6.8,1138.0,1994
63000000,"[18, 28, 37]",en,9.277147,"[335, 6194, 13040, 24217]",['US'],1994-06-24,25052000.0,191.0,['en'],Wyatt Earp,6.5,203.0,1994
10000000,"[28, 35, 80]",en,3.021526,"[175, 915]",['US'],1994-11-23,29392418.0,100.0,['en'],A Low Down Dirty Shame,6.0,31.0,1994
7000000,"[80, 18, 10749]",en,0.912909,[],['US'],1994-09-28,20851521.0,119.0,['en'],Jason's Lyric,5.9,9.0,1994
35000000,"[28, 12, 53]",en,13.58449,"[33, 7220]","['JP', 'US']",1994-12-22,99423521.0,102.0,"['en', 'ja']",Street Fighter,4.1,330.0,1994
26000000,"[28, 14, 878]",en,6.866634,"[2662, 22240, 25129, 30655]","['CA', 'FR', 'GB']",1994-11-29,36800000.0,99.0,['en'],Highlander: The Final Dimension,4.5,110.0,1994
8000000,"[27, 9648, 53]",en,8.497643,[12],['US'],1994-12-12,8946600.0,95.0,['en'],In the Mouth of Madness,7.1,307.0,1994
34000000,"[18, 10749]",en,8.013617,[5],['US'],1993-09-17,32255440.0,139.0,"['en', 'it']",The Age of Innocence,7.0,172.0,1993
17080000,"[35, 10751]",en,1.896273,"[915, 1382, 10201, 12883, 82606, 82607]",['US'],1994-01-07,21011500.0,107.0,['en'],The Air Up There,5.1,42.0,1994
50000000,"[28, 35, 80]",en,11.787784,"[4, 30]",['US'],1994-05-24,119208989.0,104.0,['en'],Beverly Hills Cop III,5.5,445.0,1994
13000000,"[27, 878, 53]",en,6.559693,"[6194, 10098, 10099]",['US'],1993-06-09,428868.0,87.0,['en'],Body Snatchers,5.8,102.0,1993
22000000,"[18, 80]",en,6.115628,"[7429, 11308]",['US'],1993-09-14,17287898.0,121.0,"['en', 'it']",A Bronx Tale,7.4,447.0,1993
13000000,"[18, 35]",en,1.316741,"[5, 1350]",['US'],1993-09-03,2570145.0,90.0,['en'],Calendar Girl,3.7,10.0,1993
30000000,"[28, 80, 18, 53]",en,8.698509,"[33, 1988, 11393]",['US'],1993-11-10,36516012.0,144.0,"['en', 'es']",Carlito's Way,7.7,805.0,1993
70000000,"[28, 12, 53]",en,9.830853,"[559, 5358, 14723, 23246, 45728, 45729]","['FR', 'IT', 'US']",1993-05-28,255000211.0,112.0,['en'],Cliffhanger,6.1,600.0,1993
40000000,"[18, 9648, 10749, 53]",en,14.228963,"[915, 1504]",['US'],1994-08-19,19726050.0,121.0,"['cs', 'en']",Color of Night,5.4,117.0,1994
6900000,"[35, 18]",en,6.8652,"[37, 6556, 10932]",['US'],1993-09-24,7993039.0,102.0,['en'],Dazed and Confused,7.4,588.0,1993
57000000,"[80, 28, 878]",en,11.626116,"[1885, 6194]",['US'],1993-10-08,159055768.0,115.0,['en'],Demolition Man,6.4,1018.0,1993
30000000,"[35, 10749]",en,8.468869,"[13, 23]",['US'],1993-10-01,11146270.0,94.0,['en'],For Love or Money,5.7,77.0,1993
42000000,"[18, 9648, 53]",en,9.678367,"[4, 932, 1302]",['US'],1993-06-30,270248367.0,154.0,['en'],The Firm,6.6,513.0,1993
20000000,"[10751, 12]",en,5.990572,"[104, 508, 644, 6194, 23397]","['FR', 'US']",1993-07-16,153698625.0,112.0,['en'],Free Willy,6.0,429.0,1993
44000000,"[12, 28, 53, 80, 9648]",en,10.08937,[6194],['US'],1993-08-06,368875760.0,130.0,['en'],The Fugitive,7.2,1240.0,1993
35000000,"[36, 28, 18, 37]",en,4.653462,[5],['US'],1993-12-10,18635620.0,115.0,"['en', 'fr']",Geronimo: An American Legend,5.9,44.0,1993
18000000,"[28, 12, 80, 53]",en,7.834351,"[33, 467, 11462]",['US'],1993-08-20,74189677.0,97.0,['en'],Hard Target,6.1,237.0,1993
25000000,"[28, 35, 10752]",en,13.482371,"[306, 11751]",['US'],1993-05-21,133752825.0,86.0,['en'],Hot Shots! Part Deux,6.2,463.0,1993
40000000,"[28, 18, 53, 80, 9648]",en,12.637158,"[97, 441]",['US'],1993-07-08,176997168.0,128.0,['en'],In the Line of Fire,6.8,392.0,1993
13000000,[18],en,7.405895,[],"['GB', 'IE']",1993-12-12,65796862.0,133.0,['en'],In the Name of the Father,7.6,363.0,1993
63000000,"[12, 878]",en,8.863776,"[33, 56]",['US'],1993-06-11,920100000.0,127.0,"['en', 'es']",Jurassic Park,7.6,4956.0,1993
9000000,"[53, 80]",en,8.4337,"[278, 3589]",['US'],1993-09-01,2395231.0,117.0,['en'],Kalifornia,6.5,209.0,1993
1500000,"[28, 80, 18, 53]",en,4.948569,[285],"['FR', 'US']",1993-10-01,418961.0,96.0,"['en', 'fr']",Killing Zoe,6.1,111.0,1993
